"screen_name","text","stripped_text1"
"Visit__World","Airfare of the Day [Business Class] SWISS Chicago to Venice from $1,962 https://t.co/SvQewpnj2P #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","Airfare of the Day [Business Class] SWISS Chicago to Venice from $1,962  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
"Visit__World","Accor ALL Suite Night Upgrade Excluded Hotels November 2021 https://t.co/oonouHuEbA #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","Accor ALL Suite Night Upgrade Excluded Hotels November 2021  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
"Visit__World","Kimpton’s New Social Password For Winter https://t.co/P2dIwgJMgr #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide","Kimpton’s New Social Password For Winter  #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide"
"Visit__World","Black Friday &amp; Cyber Monday 2021 Travel Offers Compilation https://t.co/PDLZWTdci3 #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","Black Friday &amp; Cyber Monday 2021 Travel Offers Compilation  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
"Visit__World","Airfare of the Day [Business Class] SWISS London to Dubai from £951 https://t.co/0EtWwisY0s #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","Airfare of the Day [Business Class] SWISS London to Dubai from £951  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
"Visit__World","Aegean 30% – 60% Off Economy Tickets + 6X Miles For Tickets Issued November 26 – 29, 2021 https://t.co/D9GN4n9HOe #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","Aegean 30% – 60% Off Economy Tickets + 6X Miles For Tickets Issued November 26 – 29, 2021  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
"Visit__World","Citi Premier Card: 80K Points With Best-Ever Bonus https://t.co/vcynrAU09d #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide","Citi Premier Card: 80K Points With Best-Ever Bonus  #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide"
"Visit__World","Airbahn: New SoCal-Based US Airline Startup https://t.co/NK7H7nnWQN #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide","Airbahn: New SoCal-Based US Airline Startup  #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide"
"Visit__World","United States Adds New Africa Travel Ban https://t.co/KNbaE2rIfO #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide","United States Adds New Africa Travel Ban  #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide"
"Visit__World","Marriott Americas, Europe, Middle East &amp; Africa 25% Off Escapes Through January 17, 2022 https://t.co/QRabUiskJN #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","Marriott Americas, Europe, Middle East &amp; Africa 25% Off Escapes Through January 17, 2022  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
